,DateTime,BTC Price,Volume
0,2023-10-27-08,33999.48,436032479.4756728
1,2023-10-27-16,33892.02,361731066.8544425
2,2023-10-28-00,34044.99,157492508.6681279
3,2023-10-28-08,34192.98,300322227.9332546
4,2023-10-28-16,34081.0,118121786.7459705
5,2023-10-29-00,34076.61,116096866.1405287
6,2023-10-29-08,34449.99,282380136.9606748
7,2023-10-29-16,34525.89,313175982.0778929
8,2023-10-30-00,34193.46,280561412.1780411
9,2023-10-30-08,34656.32,516719812.7579973
10,2023-10-30-16,34474.73,362490682.706067
11,2023-10-31-00,34145.21,346956592.7142969
12,2023-10-31-08,34272.19,429657718.9058463
13,2023-10-31-16,34639.77,348828132.868345
14,2023-11-01-00,34451.28,240052924.1343658
15,2023-11-01-08,34291.94,771754430.1486715
16,2023-11-01-16,35421.43,844541466.1964163
17,2023-11-02-00,35279.85,579674828.3776352
18,2023-11-02-08,34640.01,630960272.1713724
19,2023-11-02-16,34941.59,475506597.5431634
20,2023-11-03-00,34464.97,394042701.7294004
21,2023-11-03-08,34763.71,617219366.471766
22,2023-11-03-16,34716.78,336700763.3646959
23,2023-11-04-00,34767.99,222838780.6438112
24,2023-11-04-08,34709.91,191306404.6678422
25,2023-11-04-16,35062.07,225813413.1081819
26,2023-11-05-00,35162.46,253922983.7028773
27,2023-11-05-08,34882.92,274371335.3274281
28,2023-11-05-16,35011.88,331056654.9711839
29,2023-11-06-00,34904.72,233560613.503416
30,2023-11-06-08,35080.95,340938319.007985
31,2023-11-06-16,35046.09,207928769.7539195
32,2023-11-07-00,34937.71,204022784.2351383
33,2023-11-07-08,34721.23,381708140.7030206
34,2023-11-07-16,35399.12,772300436.2596937
35,2023-11-08-00,35226.4,196038254.30501
36,2023-11-08-08,35225.68,331087656.5332507
37,2023-11-08-16,35624.72,658366249.6544671
38,2023-11-09-00,36533.04,788757363.6452059
39,2023-11-09-08,37084.02,1226455502.515126
40,2023-11-09-16,36701.09,1018205056.62235
41,2023-11-10-00,36439.98,446417336.285406
42,2023-11-10-08,37082.14,609489276.1872559
43,2023-11-10-16,37301.63,549162562.0514413
44,2023-11-11-00,37006.4,328061692.8833455
45,2023-11-11-08,37050.77,250091159.8918891
46,2023-11-11-16,37130.0,273771759.9587081
47,2023-11-12-00,37127.95,235476675.0500922
48,2023-11-12-08,37152.11,248517600.283644
49,2023-11-12-16,37064.13,171576537.8045349
50,2023-11-13-00,36960.29,360166900.8765192
51,2023-11-13-08,36841.91,428910084.0603154
52,2023-11-13-16,36462.93,418960477.3673098
53,2023-11-14-00,36683.86,276076986.9075417
54,2023-11-14-08,36147.09,599322548.1747892
55,2023-11-14-16,35551.19,763731250.0044792
56,2023-11-15-00,35576.88,298398327.8895201
57,2023-11-15-08,36402.42,538678692.4111218
58,2023-11-15-16,37858.2,1126172636.2088318
59,2023-11-16-00,37437.25,362304018.8473955
60,2023-11-16-08,36406.0,699280399.4212815
61,2023-11-16-16,36163.51,682918920.7464957
62,2023-11-17-00,36239.76,409158787.7154609
63,2023-11-17-08,36044.8,491861885.7652672
64,2023-11-17-16,36613.92,490204377.7115991
65,2023-11-18-00,36417.16,186071088.118866
66,2023-11-18-08,36664.16,211432205.8532247
67,2023-11-18-16,36568.1,226930775.5535727
68,2023-11-19-00,36611.5,152216201.8956715
69,2023-11-19-08,36568.27,192121700.9440801
70,2023-11-19-16,37359.86,437193936.5974076
71,2023-11-20-00,37244.47,256475114.3050291
72,2023-11-20-08,37461.61,508064734.171309
73,2023-11-20-16,37448.78,579182793.910137
74,2023-11-21-00,37279.91,235383871.8650516
75,2023-11-21-08,36975.04,679420893.5487705
76,2023-11-21-16,35741.65,841942730.5680325
77,2023-11-22-00,36439.81,459712834.6850698
78,2023-11-22-08,36481.14,412668281.3752997
79,2023-11-22-16,37408.34,784759906.3669785
80,2023-11-23-00,37369.21,254575549.5712326
81,2023-11-23-08,36951.34,423006538.5246813
82,2023-11-23-16,37294.28,211244560.7582334
83,2023-11-24-00,37522.99,193640997.2719724
84,2023-11-24-08,38221.11,914893340.598692
85,2023-11-24-16,37713.57,580181390.2084837
86,2023-11-25-00,37802.4,145358046.2332002
87,2023-11-25-08,37704.38,154328748.0613506
88,2023-11-25-16,37780.67,130478457.4664241
89,2023-11-26-00,37789.78,100971728.1952221
90,2023-11-26-08,37437.11,330609603.0331352
91,2023-11-26-16,37447.43,365739862.3610418
92,2023-11-27-00,37283.19,232455684.3151329
93,2023-11-27-08,36751.02,542664089.1983788
94,2023-11-27-16,37242.7,337437661.7632805
95,2023-11-28-00,37105.11,242394615.3386196
96,2023-11-28-08,37513.19,324336865.2705401
97,2023-11-28-16,37818.87,847628771.0731859
98,2023-11-29-00,38096.69,330829824.5045221
99,2023-11-29-08,37830.75,634566181.6942312
100,2023-11-29-16,37854.64,287190499.4638369
101,2023-11-30-00,37792.98,305540973.1341758
102,2023-11-30-08,37619.84,430981614.3562774
103,2023-11-30-16,37723.96,197968471.4703609
104,2023-12-01-00,38244.08,454770678.9162685
105,2023-12-01-08,38413.5,691089519.176122
106,2023-12-01-16,38682.52,523890579.5315909
107,2023-12-02-00,38702.48,165640482.8728085
108,2023-12-02-08,38811.75,208344950.5057176
109,2023-12-02-16,39450.35,669436543.3875391
110,2023-12-03-00,39478.72,213434816.9851564
111,2023-12-03-08,39760.42,306463727.0879817
112,2023-12-03-16,39972.26,539962096.9763063
113,2023-12-04-00,41441.1,1083807068.4932172
114,2023-12-04-08,41270.33,1402149313.6988847
115,2023-12-04-16,41991.1,799780461.9487787
116,2023-12-05-00,41528.0,503496147.847116
117,2023-12-05-08,42268.29,687071376.9712634
118,2023-12-05-16,44073.32,1699637864.6717472
119,2023-12-06-00,43688.87,667763270.136997
120,2023-12-06-08,43785.2,1021958565.6790628
121,2023-12-06-16,43762.69,567257669.7787449
122,2023-12-07-00,43884.01,304530102.3280112
123,2023-12-07-08,43659.99,1035684153.0029964
124,2023-12-07-16,43273.14,706731596.552637
125,2023-12-08-00,43166.01,491800015.1284741
126,2023-12-08-08,43760.94,720400424.9715344
127,2023-12-08-16,44170.99,663381315.346902
128,2023-12-09-00,44180.22,320481881.8299093
129,2023-12-09-08,44045.1,475537630.9757858
130,2023-12-09-16,43713.6,300467593.7591387
