,DateTime,Funding Rate
0,2023-10-27-08,0.00010000
1,2023-10-27-16,0.00010000
2,2023-10-28-00,0.00010000
3,2023-10-28-08,0.00010000
4,2023-10-28-16,0.00010000
5,2023-10-29-00,0.00010000
6,2023-10-29-08,0.00010000
7,2023-10-29-16,0.00010000
8,2023-10-30-00,0.00010000
9,2023-10-30-08,0.00010000
10,2023-10-30-16,0.00010000
11,2023-10-31-00,0.00010000
12,2023-10-31-08,0.00010000
13,2023-10-31-16,0.00010000
14,2023-11-01-00,0.00010000
15,2023-11-01-08,0.00010000
16,2023-11-01-16,0.00010000
17,2023-11-02-00,0.00010000
18,2023-11-02-08,0.00010000
19,2023-11-02-16,0.00010000
20,2023-11-03-00,0.00010000
21,2023-11-03-08,0.00010000
22,2023-11-03-16,0.00010000
23,2023-11-04-00,0.00010000
24,2023-11-04-08,0.00010000
25,2023-11-04-16,0.00010000
26,2023-11-05-00,0.00010000
27,2023-11-05-08,0.00010000
28,2023-11-05-16,0.00010000
29,2023-11-06-00,0.00010000
30,2023-11-06-08,0.00010000
31,2023-11-06-16,0.00010000
32,2023-11-07-00,0.00010000
33,2023-11-07-08,0.00010000
34,2023-11-07-16,0.00010000
35,2023-11-08-00,0.00010000
36,2023-11-08-08,0.00010000
37,2023-11-08-16,0.00010000
38,2023-11-09-00,0.00010000
39,2023-11-09-08,0.00010000
40,2023-11-09-16,0.00020027
41,2023-11-10-00,0.00010000
42,2023-11-10-08,0.00011682
43,2023-11-10-16,0.00010000
44,2023-11-11-00,0.00010000
45,2023-11-11-08,0.00016607
46,2023-11-11-16,0.00014648
47,2023-11-12-00,0.00015430
48,2023-11-12-08,0.00023487
49,2023-11-12-16,0.00027221
50,2023-11-13-00,0.00032467
51,2023-11-13-08,0.00010893
52,2023-11-13-16,0.00020492
53,2023-11-14-00,0.00017382
54,2023-11-14-08,0.00016369
55,2023-11-14-16,0.00014477
56,2023-11-15-00,0.00010000
57,2023-11-15-08,0.00010000
58,2023-11-15-16,0.00010000
59,2023-11-16-00,0.00010000
60,2023-11-16-08,0.00015199
61,2023-11-16-16,0.00012014
62,2023-11-17-00,0.00010000
63,2023-11-17-08,0.00010000
64,2023-11-17-16,0.00010000
65,2023-11-18-00,0.00010000
66,2023-11-18-08,0.00010000
67,2023-11-18-16,0.00010000
68,2023-11-19-00,0.00010000
69,2023-11-19-08,0.00010000
70,2023-11-19-16,0.00010000
71,2023-11-20-00,0.00010000
72,2023-11-20-08,0.00010000
73,2023-11-20-16,0.00010000
74,2023-11-21-00,0.00010000
75,2023-11-21-08,0.00010000
76,2023-11-21-16,0.00010000
77,2023-11-22-00,0.00010000
78,2023-11-22-08,0.00010000
79,2023-11-22-16,0.00010000
80,2023-11-23-00,0.00010000
81,2023-11-23-08,0.00010000
82,2023-11-23-16,0.00010000
83,2023-11-24-00,0.00010000
84,2023-11-24-08,0.00010000
85,2023-11-24-16,0.00010000
86,2023-11-25-00,0.00010000
87,2023-11-25-08,0.00010000
